split,family,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std
dev,baseline,159,159,0.5660918707772874,0.6279037800687285,0.2210812848615961,0.4255954155721898,0.45762372270086155,0.2033234885735458,0.5402913908874779,0.5770274344287006,0.2661265168836146,0.7321311697147829,0.8010216984472207,0.22083825209237287,33.429672791004286,16.636902568483986,41.77120168445606,27.846511393517343,11.200298614802886,43.306310802881,2.219111914370143,1.333517597199189,2.9942277485244047,127.94339622641509,84.0,149.76218469830036,0.8055343511899603,0.8662535211267606,0.18300948477065926
dev,conditional_lcc_largest_fraction,159,954,0.5855793355229512,0.6755537063116118,0.26105171406559713,0.45655431916758665,0.5100650056789348,0.23401750620535813,0.5896852674084172,0.6707268634979479,0.2927346703174702,0.67864329995018,0.7763462173769409,0.28415879802909916,30.367749697881756,14.418239160848907,40.736299516682756,27.846511393517343,11.200298614802886,43.192556178236366,1.7902151606846404,1.1673619631901841,2.534797070451614,72.64570230607967,33.0,118.13191022500952,0.9350521475462942,0.9829886150513776,0.09915807416622147
dev,conditional_lcc_n_components,159,636,0.599943592000878,0.7133408387278356,0.27538521842470526,0.4763578246507431,0.5544132122935579,0.24701419560311433,0.623061603586017,0.7233848122087179,0.30792051040078033,0.6615651816892184,0.7613729508196722,0.297860309484252,28.37376805214715,13.358154296875,38.497436561256706,27.846511393517343,11.200298614802886,43.203891319798316,1.6373206260658406,1.1066827091793252,2.247059475401808,1.0047169811320755,1.0,0.1189577378577216,0.9999931314435645,1.0,0.00017321840241386497
dev,conditional_lcc_predicted_volume,159,636,0.5671915853662498,0.6279037800687285,0.227052331111351,0.42829328008232603,0.45762372270086155,0.2074525663418506,0.5450431644575202,0.5886199564873418,0.2708923998426149,0.7227414915899648,0.7959821841083159,0.23317534533236747,31.890707124021585,16.636902568483986,38.34321420823702,27.846511393517343,11.200298614802886,43.203891319798316,2.142258826537906,1.3137688667414626,2.7469700461809636,89.79874213836477,61.0,101.19148636027202,0.8212623408357586,0.8903986981285598,0.18705800217671667
dev,context_v1,159,318,0.5711252819414787,0.6488524700770677,0.2551737891055465,0.4402315913462139,0.4802233309309738,0.23073004204469438,0.5636174796977385,0.6551541146679479,0.29440805585559204,0.6977890566191239,0.7985432762125537,0.2688287899420482,31.808728645253,14.9017574891737,41.67415069117316,27.846511393517343,11.200298614802886,43.23795036436247,2.039112008557942,1.2209420211392619,2.8107679492778055,67.03459119496856,2.5,133.20426925804787,0.9012634617111648,0.9996753849007605,0.1629786784217476
dev,small_component_removal,159,1590,0.5798471891151646,0.6501667038631722,0.22537504356240334,0.4410257605841339,0.481664449933498,0.20883213286360372,0.5615521413483692,0.6242743897458652,0.2719115306843563,0.7334580234524585,0.8032434623961079,0.22741478791065536,32.55035856992329,15.997821169293399,41.15754727637981,27.846511393517346,11.200298614802886,43.18349448587225,2.1068507720505343,1.2683039476034363,2.878762766314443,4.228930817610063,2.0,5.520638614566536,0.8462836947379496,0.9205031196691098,0.18154504459531504
dev,standard_lcc,159,318,0.6022452128536003,0.7140576765337259,0.27696723120448086,0.47944532631104464,0.5552799769548914,0.2494301811266248,0.6237733439562299,0.7253200910685594,0.3082585933181703,0.6657061087387798,0.7647986796433243,0.30039531185317103,28.495891612258358,13.483693972605806,38.66956991411477,27.846511393517343,11.200298614802886,43.23795036436247,1.6429566638247415,1.1123218186626604,2.2532467023206983,1.0,1.0,0.0,1.0,1.0,0.0
dev,v1_v2_consensus,159,795,0.5883405468921336,0.682545136300282,0.26670975414435794,0.46152895435381736,0.5180785733968429,0.2404991962099163,0.6012190025059156,0.6879864423801155,0.3014955126945374,0.6750928890418667,0.7791503172988422,0.28635946069532153,29.581331651447375,14.158935546875,39.40505152594336,27.846511393517343,11.200298614802886,43.197089164152004,1.7842178592221942,1.139976294468168,2.461042888635058,26.338364779874215,1.0,83.62578558647404,0.9596952878300619,1.0,0.11398327920686362
test,baseline,367,367,0.5508080745281706,0.5960842496786674,0.23964011154913797,0.4162764214434203,0.4245869095365828,0.22242878987970047,0.5272880673093664,0.5578228471098945,0.27526295149237334,0.7326154973323636,0.8119287020109689,0.2323470662515705,33.207194010940974,18.31629774704671,43.30575672267941,26.4788068248861,9.698839753935317,51.0106544477942,3.6986203537679274,1.3861748089066137,10.69034895403021,138.31880108991825,79.0,170.82370118338494,0.8068721963664335,0.8798325678739608,0.18683640680399138
test,conditional_lcc_largest_fraction,367,2202,0.5500852449122707,0.6446171456111814,0.286966632329828,0.42877668929836443,0.4755978309183039,0.25308746024544093,0.5554536240093044,0.6397261786463508,0.3129868589814767,0.6534055213151806,0.7783407538981794,0.3153519850754034,29.31926671444541,14.11245459195416,38.787450663688965,26.4788068248861,9.698839753935317,50.95268118841391,2.845564320834685,1.2084593488703077,7.770392791714263,75.3519527702089,27.0,134.7433325571495,0.937134543232771,0.9807538091419407,0.10072466721463977
