split,cohort,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std
dev,DUKE,v1_lcc,87,87,0.6000026366331404,0.6924702966688534,0.2612933589161498,0.4711276313742826,0.5296019623146393,0.23384403647572136,0.6127588236064015,0.7094635615240779,0.3047756712936227,0.6782973949219036,0.7958435207823961,0.2881471129895036,24.567895154574007,13.19814685089511,37.83178771556055,24.082058525033915,9.177271195005742,43.72549753744216,1.6534211191355577,1.15203153426319,1.7372010936960884,1.0,1.0,0.0,1.0,1.0,0.0
dev,DUKE,v1_raw,87,87,0.5590565591539862,0.6172002121864141,0.22077585683007236,0.4182560898295355,0.4463409798191395,0.2020937819893885,0.5255068270711029,0.569371727748691,0.2669888255721405,0.7456348802393711,0.8203136896604233,0.22055255413980843,30.946076793232418,15.757591026298911,45.877742721017476,24.082058525033915,9.177271195005742,43.72549753744216,2.321504025713085,1.3511280584683825,2.8076405522647905,155.95402298850576,95.0,204.07482143874407,0.7965647551109495,0.8555809089180453,0.17555741919568105
dev,DUKE,v1v2_intersection,87,87,0.5708621855454455,0.642954987863786,0.2175030537813732,0.42930646467578687,0.4737904653963307,0.20075583748556855,0.5494369250802672,0.5973353071798667,0.2677124758936821,0.7294002223020768,0.797881010594947,0.2213600257863353,28.502019388516327,15.001220703125,41.48604334903945,24.082058525033915,9.177271195005742,43.72549753744216,2.0819644317138746,1.3334254652662612,2.4189174731114345,146.4367816091954,88.0,183.5865996243041,0.7954870641343214,0.8555809089180453,0.17910368930542417
dev,DUKE,v1v2_intersection_lcc,87,87,0.6122424427250396,0.7125074932120314,0.2580642816731041,0.4831677620488778,0.5534070990359334,0.231757890194067,0.6395823339140264,0.744289223774429,0.3021616526977754,0.6676006004914207,0.7791503172988422,0.2887310481078604,23.151499406712205,12.258306833257508,36.505763622633665,24.082058525033915,9.177271195005742,43.72549753744216,1.4585358782364268,1.1066827091793252,1.3823384955448503,1.0,1.0,0.0,1.0,1.0,0.0
dev,DUKE,v1v2_union_lcc,87,87,0.6007482362571279,0.7012353450310803,0.2618053790244892,0.4721171394620111,0.5399248758027384,0.2345017776709436,0.6115838898858309,0.7094463331714425,0.30460509309602,0.6811484141143918,0.796437228705113,0.2883781401702058,24.675749164176413,13.19814685089511,37.84870483076261,24.082058525033915,9.177271195005742,43.72549753744216,1.6653046217038014,1.1736308778321756,1.7549451811099686,1.0,1.0,0.0,1.0,1.0,0.0
dev,DUKE,v2_cond_lcc_largestfrac_le_0p5,87,87,0.5821511904385736,0.6592095578796022,0.2284113300551308,0.4432558208947424,0.49165741130813323,0.20772338510727953,0.5632585291402074,0.6173565380997178,0.2678037143066533,0.7130732187524704,0.792762679843046,0.24478192300720072,27.37904412010342,14.710353650177526,41.482139306581985,24.082058525033915,9.177271195005742,43.72549753744216,1.8722867733913404,1.276013143483023,2.058216733801134,131.01149425287358,81.0,180.3418262216244,0.8393942749179834,0.8903986981285598,0.1503399212252879
dev,DUKE,v2_cond_lcc_largestfrac_le_0p6,87,87,0.5797791173634618,0.6651199165797705,0.24250441509586457,0.4443345989947825,0.4982619224309651,0.21690755351739022,0.5702683747625527,0.6436327739387957,0.2797707899618133,0.6930463972448481,0.7904352498656636,0.27115599219280445,26.35855952364389,14.501056650668689,41.36104127295396,24.082058525033915,9.177271195005742,43.72549753744216,1.7090723415548494,1.2190122659780502,1.798054425055567,117.73563218390805,63.0,181.53995394506072,0.8874385758248918,0.9257053976288396,0.11509395157522391
dev,DUKE,v2_cond_lcc_largestfrac_le_0p7,87,87,0.5914054233923082,0.6709647708956942,0.24754194665245685,0.4578387494105015,0.5048510048510049,0.22186197432680702,0.5918428615071414,0.6559244869258456,0.2860514915223965,0.684452667473535,0.7904352498656636,0.2812402703336753,25.543120532033985,14.193436269462108,41.164924849571996,24.082058525033915,9.177271195005742,43.72549753744216,1.5985099920449284,1.1749362620121593,1.4729114820500024,91.71264367816092,46.0,167.28543411243405,0.9227182238886587,0.9626565295169947,0.0879999923574523
dev,DUKE,v2_cond_lcc_largestfrac_le_0p8,87,87,0.6042744132540266,0.6969490438199094,0.24924507214705163,0.4718922217828727,0.5348593932681066,0.22376415708300806,0.6148607341162632,0.6822260308498841,0.2898570590103378,0.6838425357846275,0.7904352498656636,0.2813528959802794,24.12592042808025,13.013537079444362,37.292001048918586,24.082058525033915,9.177271195005742,43.72549753744216,1.5415255745391143,1.14461656723651,1.4649060820618578,56.32183908045977,23.0,80.46557753891709,0.9575946538581124,0.9838330800055272,0.05438949279151521
dev,DUKE,v2_cond_lcc_largestfrac_le_0p9,87,87,0.6083507726059504,0.7123674535088187,0.25624098827461234,0.4781692422487859,0.5532381543554727,0.22857454665290947,0.6273112913603288,0.7206162556481028,0.29684376160951764,0.6718102911612123,0.7867974519420486,0.28862842408155687,23.738676527579617,12.30453018322587,37.25006872054678,24.082058525033915,9.177271195005742,43.72549753744216,1.4929508948377639,1.1329264157341472,1.4084961415811068,39.06896551724138,1.0,73.07240644594322,0.9819616208050769,1.0,0.028659656915666815
