feature_a,feature_b,spearman_rho,abs_rho,n
v1_small100_pred_to_gt_vol_ratio,v2_lcc_pred_to_gt_vol_ratio,0.9177042424967043,0.9177042424967043,526
v1_small50_pred_to_gt_vol_ratio,pred_to_gt_vol_ratio,0.916006048193839,0.916006048193839,526
v1_small50_pred_to_gt_vol_ratio,v2_lcc_pred_to_gt_vol_ratio,0.916006048193839,0.916006048193839,526
v1_lcc_dice_utilization_of_volume_bound,v1_lcc_dice_gap_to_volume_bound,-0.9126509139679165,0.9126509139679165,526
v2_lcc_dice_utilization_of_volume_bound,v2_lcc_dice_gap_to_volume_bound,-0.9126304484724477,0.9126304484724477,526
v1_raw_n_components_ge100,v2_raw_n_components_ge50,0.9093566435277811,0.9093566435277811,526
v1_raw_n_components_ge50,v2_raw_n_components_ge100,0.9042768255613005,0.9042768255613005,526
v1_raw_second_largest_component_fraction,v2_raw_largest_component_fraction,-0.9002481738433138,0.9002481738433138,526
v1_raw_largest_component_fraction,v2_raw_second_largest_component_fraction,-0.8925079699486811,0.8925079699486811,526
v1_raw_dice_utilization_of_volume_bound,v1_raw_dice_gap_to_volume_bound,-0.879349324877052,0.879349324877052,526
v2_raw_dice_utilization_of_volume_bound,v2_raw_dice_gap_to_volume_bound,-0.8759390751214746,0.8759390751214746,526
v2_lcc_dice_gap_to_volume_bound,v1_lcc_dice_utilization_of_volume_bound,-0.8713463404274371,0.8713463404274371,526
v2_raw_dice_gap_to_volume_bound,v1_raw_dice_utilization_of_volume_bound,-0.8712336758685604,0.8712336758685604,526
kin_gt_late_slope,kin_gt_washout_index,-0.8517325288472433,0.8517325288472433,283
v2_lcc_dice_utilization_of_volume_bound,v1_lcc_dice_gap_to_volume_bound,-0.8489690928891525,0.8489690928891525,526
v2_raw_dice_utilization_of_volume_bound,v1_raw_dice_gap_to_volume_bound,-0.8441802481687946,0.8441802481687946,526
kin_fg_late_slope,kin_fg_washout_index,-0.8337043420383752,0.8337043420383752,340
kin_tumor_to_fg_max_enh_diff,kin_gt_max_enh,0.8241337776371435,0.8241337776371435,526
v1_raw_n_components,v2_raw_n_components_ge50,0.8196722594847953,0.8196722594847953,526
v2_raw_n_components,v2_raw_n_components_ge50,0.8184184580954437,0.8184184580954437,526
v2_raw_n_components_ge50,kin_n_components,0.8184184580954437,0.8184184580954437,526
late_dev_s,kin_early_dev_s,0.8141107316149102,0.8141107316149102,526
kin_early_dev_s,kin_late_dev_s,0.8141107316149102,0.8141107316149102,526
early_dev_s,kin_late_dev_s,0.8141107316149102,0.8141107316149102,526
early_dev_s,late_dev_s,0.8141107316149102,0.8141107316149102,526
late_dev_s,kin_gt_first_post_s,0.8140665733593787,0.8140665733593787,526
kin_late_dev_s,kin_ring_first_post_s,0.8140665733593787,0.8140665733593787,526
kin_late_dev_s,kin_fg_first_post_s,0.8140665733593787,0.8140665733593787,526
kin_late_dev_s,kin_gt_first_post_s,0.8140665733593787,0.8140665733593787,526
late_dev_s,kin_ring_first_post_s,0.8140665733593787,0.8140665733593787,526
kin_first_post_s,kin_late_dev_s,0.8140665733593787,0.8140665733593787,526
late_dev_s,kin_fg_first_post_s,0.8140665733593787,0.8140665733593787,526
late_dev_s,kin_first_post_s,0.8140665733593787,0.8140665733593787,526
v1_raw_n_components,v1_raw_n_components_ge50,0.8110581569589124,0.8110581569589124,526
v1_raw_n_components_ge50,v2_raw_n_components,0.7917262857884251,0.7917262857884251,526
v1_raw_n_components_ge50,kin_n_components,0.7917262857884251,0.7917262857884251,526
kin_tumor_to_ring_auc_norm_diff,kin_gt_max_enh,0.7756373227568962,0.7756373227568962,526
kin_tumor_to_ring_auc_norm_diff,kin_tumor_to_fg_max_enh_diff,0.7584859313527939,0.7584859313527939,526
kin_tumor_to_fg_max_enh_diff,kin_gt_auc_enh_norm,0.7538553319033979,0.7538553319033979,526
gt_vol_cm3,v2_lcc_pred_vol_cm3,0.7497954714776431,0.7497954714776431,526
v2_lcc_pred_vol_cm3,log_gt_vol_cm3,0.749795471477643,0.749795471477643,526
