cohort,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
DUKE,v1_raw,291,0.5541633790805967,0.23990493195148135,0.6223419073265856,0.4190596896748287,0.21928011066112094,0.4517390132111081,0.5252177936093608,0.2792777888904757,0.5543175487465181,0.7448548961687173,0.2240972827830997,0.8200451904454487,31.361875677999013,49.60074086668041,14.501056650668689,21.130438651165154,42.28817995418081,7.907205327827813,4.0394366605154435,12.915303578972347,1.393722517616323,0.7736294150235482,0.19461262817601474,0.8361419493711943
DUKE,v1_lcc,291,0.5835172720176839,0.2930300040169809,0.6909118789613576,0.46480407042012023,0.259876668428597,0.5277810315879895,0.6071673208597984,0.32629906751983717,0.7116430903155604,0.6532336158459608,0.31332688698905176,0.7848478618421053,23.55734055231565,37.363473287153624,11.07586629295838,21.130438651165154,42.28817995418081,7.907205327827813,2.5239584181070533,6.917154370306754,1.1192353643966548,,,
DUKE,v2_raw,291,0.5664864047120075,0.24005278546587053,0.6367840626111704,0.4315114559648604,0.22068201868970952,0.4671189979123173,0.5497620688520444,0.28227594565189795,0.5970978144034397,0.7344603688789174,0.22545179790786643,0.801987631636141,29.260423100821406,46.48944046525282,13.33785110450521,21.130438651165154,42.28817995418081,7.907205327827813,3.563306263265037,10.534503219837656,1.320919250747678,0.7807998206503399,0.19468105291653795,0.8462287104622871
DUKE,v2_lcc,291,0.5925374849063632,0.2932588680909898,0.7001227747084101,0.47453631731553303,0.26141265731966884,0.5386068476977568,0.6304534286477069,0.329395836791674,0.7487736510161177,0.6414492749763252,0.3149329950578819,0.7547560194085874,22.377715397496562,36.25606136784331,10.741356377345763,21.130438651165154,42.28817995418081,7.907205327827813,2.2499667603089577,5.684837430777413,1.083483213429257,,,
DUKE,v1_small50,291,0.5631745618814747,0.2410509178684515,0.6323834685789772,0.42856176010863845,0.22195402402330802,0.4623982337518973,0.5408957027903062,0.282679821785051,0.5798818075296754,0.7428359788900665,0.22525034383847353,0.8169273620275413,30.458390076638917,48.61228995521814,13.835898272034695,21.130438651165154,42.28817995418081,7.907205327827813,3.894674593278088,12.690174234055803,1.3557540454976162,,,
DUKE,v1_small100,291,0.5666507099831866,0.24160026916084965,0.6359187589956821,0.432291852686095,0.22307875703611174,0.466188332395423,0.5466219604860759,0.28402210159042873,0.5861331704337203,0.7421819596988432,0.22552382019219838,0.8162115424140839,30.17813980513444,48.387614078353955,13.835898272034695,21.130438651165154,42.28817995418081,7.907205327827813,3.8483750974156603,12.624264632773,1.3310222055654457,,,
DUKE,v2_small50,291,0.5751894130396554,0.24117683166392806,0.6459396978607198,0.4408667674977555,0.22338902721983986,0.4770390926018579,0.566054467875312,0.28562276999754926,0.6209114422394653,0.7321688267888545,0.22670616155941656,0.8010396975425331,28.399115473266377,45.51330503146665,13.036000166982696,21.130438651165154,42.28817995418081,7.907205327827813,3.4286951740019354,10.325161377395254,1.2734344800927713,,,
DUKE,v2_small100,291,0.5783784873385183,0.24146527333689666,0.6495595888534894,0.4442781297414274,0.2242149875123606,0.4809983346855118,0.5717400287962694,0.2866120101888808,0.6279227618490345,0.7313276554611303,0.22709685951728362,0.8010396975425331,28.132171761448976,45.29717212655669,12.786353595715113,21.130438651165154,42.28817995418081,7.907205327827813,3.3853593091633956,10.273725362652803,1.255737152485257,,,
DUKE,kin_v1_raw,291,0.5541633790805967,0.23990493195148135,0.6223419073265856,,,,0.5252177936093608,0.2792777888904757,0.5543175487465181,0.7448548961687173,0.2240972827830997,0.8200451904454487,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,kin_v1_lcc,291,0.5835172720176839,0.2930300040169809,0.6909118789613576,,,,0.6071673208597984,0.32629906751983717,0.7116430903155604,0.6532336158459608,0.31332688698905176,0.7848478618421053,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,kin_v2_raw,291,0.5664864047120075,0.24005278546587053,0.6367840626111704,,,,0.5497620688520444,0.28227594565189795,0.5970978144034397,0.7344603688789174,0.22545179790786643,0.801987631636141,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,kin_v2_lcc,291,0.5925374849063632,0.2932588680909898,0.7001227747084101,,,,0.6304534286477069,0.329395836791674,0.7487736510161177,0.6414492749763252,0.3149329950578819,0.7547560194085874,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,kin_v2_kinetic_cc,291,0.24420838106642329,0.3528248167989357,0.0,,,,0.30753167068189824,0.39546025866055534,0.0,0.25289112020034366,0.37101587184332896,0.0,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,kin_delta_v2_lcc_minus_raw,291,0.02605108019435581,0.13531594762929586,0.0214222590639324,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,kin_delta_kineticcc_minus_lcc,291,-0.34832910383994,0.38837249796052575,-0.3530706581554039,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v1_raw_error_1_minus,291,0.44583662091940335,0.23990493195148135,0.3776580926734144,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v1_lcc_error_1_minus,291,0.41648272798231606,0.2930300040169809,0.3090881210386423,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v1_small50_error_1_minus,291,0.4368254381185252,0.2410509178684515,0.3676165314210228,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v1_small100_error_1_minus,291,0.4333492900168134,0.24160026916084965,0.3640812410043179,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v2_raw_error_1_minus,291,0.4335135952879925,0.24005278546587053,0.3632159373888296,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v2_lcc_error_1_minus,291,0.4074625150936367,0.2932588680909898,0.2998772252915899,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v2_small50_error_1_minus,291,0.4248105869603446,0.2411768316639281,0.3540603021392802,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
DUKE,v2_small100_error_1_minus,291,0.4216215126614817,0.24146527333689666,0.3504404111465106,,,,,,,,,,,,,21.130438651165154,42.28817995418081,7.907205327827813,,,,,,
ISPY1,v1_raw,171,0.5303211317258638,0.23205215822835748,0.5471392451059062,0.39402091120537985,0.21378432168442144,0.376594414339308,0.5053587331046494,0.2594902648545375,0.5598631698973774,0.703756388810304,0.23544476138602513,0.7788923573357651,39.50868104218539,39.74264342443689,25.248210717597978,35.25184221467186,55.854340627945334,14.904794040194249,3.0817686327624245,7.993159404663152,1.341172945846753,0.8072811863154219,0.17816887672184967,0.8598981789700412
ISPY1,v1_lcc,171,0.5281929890449342,0.3073485386870954,0.6388129636860601,0.41318721531234165,0.26477736450308137,0.4693057946069994,0.5503972334627144,0.32396395804981987,0.6770275256438639,0.5967479321216138,0.3401310453701082,0.7290102389078499,33.84125575836834,37.07519291521474,17.284705354650214,35.25184221467186,55.854340627945334,14.904794040194249,2.4928303597294232,7.415896180168732,1.1184720762512232,,,
ISPY1,v2_raw,171,0.5356359218566931,0.23021982679205003,0.5557973267018962,0.3986937794035463,0.2129471502361931,0.3848471803702109,0.5107312897343937,0.2585590366036891,0.5676493759588672,0.7088383082873176,0.23040812475517422,0.7788923573357651,39.67369587531824,40.18557625958784,25.249446678569075,35.25184221467186,55.854340627945334,14.904794040194249,3.0788051555501155,7.989189834778087,1.3422100547536089,0.8136549501700883,0.17486380378458638,0.8684831460674157
ISPY1,v2_lcc,171,0.5336710308024728,0.30529550896899893,0.6402078596947061,0.4178966557791431,0.263813605284697,0.47081303143212,0.5557182680913907,0.32244816189457914,0.6856610029009532,0.6028532119599553,0.3378683658065059,0.7329811421693192,34.10189138298832,37.500884049648676,17.283332063088892,35.25184221467186,55.854340627945334,14.904794040194249,2.5101553856750747,7.41641277678981,1.1184720762512232,,,
