volume_ratio_group,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
<0.5 under,v1_raw,50,0.34790075208967525,0.20133663031044502,0.3593677236079065,0.228129844761939,0.1480832348809007,0.2190460867117446,0.5814375714354441,0.30137181125915474,0.6049978392229928,0.26315691656052476,0.16511080360689329,0.24478408349204325,30.470006970310756,39.277983339082866,13.98781534953026,77.74047157068003,101.59003858052553,38.8555896869002,0.4440314082035906,0.24622754421092258,0.4325921338936882,0.7231315413282211,0.22735187920575595,0.7968802162129868
<0.5 under,v1_lcc,50,0.3420447719537162,0.21869825598424494,0.377106728724813,0.22674055395697182,0.1591977680944144,0.23236702648543206,0.6940914680266398,0.34751075755740024,0.8333265235056434,0.23967908196536314,0.16802875181123028,0.2366833656271867,24.881114697548618,36.09539591424579,9.342011369782819,77.74047157068003,101.59003858052553,38.8555896869002,0.31826872617166624,0.16541559742672027,0.2908842325743413,,,
<0.5 under,v2_raw,50,0.3460789720522305,0.19728593306765332,0.3555787035889145,0.22596457174358028,0.14408281494325462,0.21625367906301796,0.6018617900585348,0.30479909038890696,0.6506440483405979,0.2536923456864367,0.15387639995684058,0.24478408349204325,29.604290903653727,39.136807736191166,12.609502443610413,77.74047157068003,101.59003858052553,38.8555896869002,0.40979350386022906,0.19885809134392793,0.4216901448535272,0.7283827214729497,0.22813763312730412,0.804883855634402
<0.5 under,v2_lcc,50,0.3351018945207687,0.21079863979566799,0.37198699084133224,0.21990375217024144,0.15113590800875906,0.22850151137601427,0.7099950087815098,0.35392652368914435,0.8513204573120678,0.22910815522938852,0.1557138391147071,0.2366833656271867,24.293265954370266,35.88475416300497,8.339492234042797,77.74047157068003,101.59003858052553,38.8555896869002,0.2973594691721772,0.14438798058903599,0.2908880969088057,,,
<0.5 under,v1_small50,50,0.3456598823417913,0.20281414384854263,0.35480214221084105,0.22668655508761518,0.14881693317921282,0.2156595390854374,0.5998296611698691,0.30357624372342024,0.6286230032251656,0.25715495332198124,0.16455876993860508,0.2374332502351666,29.152784841960514,38.20962496297709,13.33846059614655,77.74047157068003,101.59003858052553,38.8555896869002,0.4101574426638912,0.2238862069659104,0.40746788952023955,,,
<0.5 under,v1_small100,50,0.34514665881075474,0.20323136622566387,0.35467970488869116,0.2263619958103847,0.14896498829191773,0.2155695496295601,0.6039914151331962,0.3047792401124675,0.6318118541915282,0.25578587180250445,0.16439251382009704,0.2367331629902248,28.851666226334785,38.01833694454679,13.133418329175647,77.74047157068003,101.59003858052553,38.8555896869002,0.4035622132042585,0.21892577881781772,0.3980051293833843,,,
<0.5 under,v2_small50,50,0.34322167734752634,0.19837160514880012,0.3544452131858291,0.22399689945791124,0.1445213717301909,0.21539617568850689,0.6212860737496255,0.30758777187493846,0.6890868574725679,0.24754388357586868,0.15313186004831827,0.2374358433271695,28.335353290196082,38.08203730469414,12.137559695872582,77.74047157068003,101.59003858052553,38.8555896869002,0.37870481510395676,0.18557803544626802,0.39423790562364047,,,
<0.5 under,v2_small100,50,0.3426244386385601,0.1986813927406817,0.3546993325416849,0.22359408173305093,0.1446146509430855,0.21558406619812798,0.6265775196395357,0.30889317559094764,0.7008764253102872,0.2457901573304693,0.1525480239404796,0.2367331629902248,28.030791228781737,37.89087822779574,11.945229055412128,77.74047157068003,101.59003858052553,38.8555896869002,0.3710379046399994,0.17953682962072168,0.3799509097639704,,,
<0.5 under,kin_v1_raw,50,0.34790075208967525,0.20133663031044502,0.3593677236079065,,,,0.5814375714354441,0.30137181125915474,0.6049978392229928,0.26315691656052476,0.16511080360689329,0.24478408349204325,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
<0.5 under,kin_v1_lcc,50,0.3420447719537162,0.21869825598424494,0.377106728724813,,,,0.6940914680266398,0.34751075755740024,0.8333265235056434,0.23967908196536314,0.16802875181123028,0.2366833656271867,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
<0.5 under,kin_v2_raw,50,0.3460789720522305,0.19728593306765332,0.3555787035889145,,,,0.6018617900585348,0.30479909038890696,0.6506440483405979,0.2536923456864367,0.15387639995684058,0.24478408349204325,,,,77.74047157068003,101.59003858052553,38.8555896869002,,,,,,
