target,feature,spearman_rho,p_value,n,abs_rho,q_value_bh
delta_v2_lcc_minus_v2_raw_dice,v2_raw_second_largest_component_fraction,0.27632583890121765,1.130802176313965e-10,526,0.27632583890121765,1.323038546287339e-08
delta_v2_lcc_minus_v2_raw_dice,v1_raw_second_largest_component_fraction,0.2711448286276986,2.571123101611473e-10,526,0.2711448286276986,1.5041070144427116e-08
delta_v2_lcc_minus_v2_raw_dice,v2_raw_largest_component_fraction,-0.26272730514860465,9.413341938515433e-10,526,0.26272730514860465,3.6712033560210186e-08
delta_v2_lcc_minus_v2_raw_dice,v1_raw_largest_component_fraction,-0.2513292969346322,5.08043147500506e-09,526,0.2513292969346322,1.48602620643898e-07
delta_v2_lcc_minus_v2_raw_dice,v1_raw_pred_to_gt_vol_ratio,0.17936608422649455,3.5107943483184314e-05,526,0.17936608422649455,0.000821525877506513
delta_v2_lcc_minus_v2_raw_dice,v2_raw_n_components_ge100,0.17464914891394556,5.649649252028766e-05,526,0.17464914891394556,0.0011016816041456094
delta_v2_lcc_minus_v2_raw_dice,v1_small50_pred_to_gt_vol_ratio,0.16896217560760024,9.864263242489668e-05,526,0.16896217560760024,0.0016487411419589873
delta_v2_lcc_minus_v2_raw_dice,v1_small100_pred_to_gt_vol_ratio,0.16508926055441303,0.00014272857126680427,526,0.16508926055441303,0.0018532560481972187
delta_v2_lcc_minus_v2_raw_dice,v2_raw_pred_to_gt_vol_ratio,0.1640634150781052,0.0001571870834668316,526,0.1640634150781052,0.0018532560481972187
delta_v2_lcc_minus_v2_raw_dice,v1_raw_n_components_ge100,0.16398157028035568,0.00015839795283736913,526,0.16398157028035568,0.0018532560481972187
delta_v2_lcc_minus_v2_raw_dice,v2_small50_pred_to_gt_vol_ratio,0.15216687284357516,0.00046175986173276697,526,0.15216687284357516,0.004911445802066703
delta_v2_lcc_minus_v2_raw_dice,v2_small100_pred_to_gt_vol_ratio,0.14828678404579837,0.0006455907283477042,526,0.14828678404579837,0.006294509601390116
delta_v2_lcc_minus_v2_raw_dice,v1_raw_n_components_ge50,0.1318691157348331,0.002442089245253672,526,0.1318691157348331,0.02197880320728305
delta_v2_lcc_minus_v2_raw_dice,v2_raw_n_components_ge50,0.12119512766375976,0.005382131200205876,526,0.12119512766375976,0.044979239316006246
delta_v2_lcc_minus_v2_raw_dice,kin_v2_kinetic_cc_voxels,-0.1027221353509205,0.01844646668496719,526,0.1027221353509205,0.13488978763382256
delta_v2_lcc_minus_v2_raw_dice,kin_selected_voxels,-0.1027221353509205,0.01844646668496719,526,0.1027221353509205,0.13488978763382256
delta_v2_lcc_minus_v2_raw_dice,kin_ring_voxels,-0.10061292848648588,0.021004944018242298,526,0.10061292848648588,0.14456343824319698
delta_v2_lcc_minus_v2_raw_dice,v2_lcc_pred_vol_cm3,-0.09592867516692204,0.027811442459656763,526,0.09592867516692204,0.18077437598776896
delta_v2_lcc_minus_v2_raw_dice,slice_thickness,-0.09292406275376869,0.033111686623690996,526,0.09292406275376869,0.19548251085791976
delta_v2_lcc_minus_v2_raw_dice,v2_lcc_pred_voxels,-0.09108801101055752,0.036757395204053286,526,0.09108801101055752,0.19548251085791976
delta_v2_lcc_minus_v2_raw_dice,v2_raw_largest_component_voxels,-0.09108801101055752,0.036757395204053286,526,0.09108801101055752,0.19548251085791976
delta_v2_lcc_minus_v2_raw_dice,kin_v2_lcc_voxels,-0.09108801101055752,0.036757395204053286,526,0.09108801101055752,0.19548251085791976
delta_v2_lcc_minus_v2_raw_dice,v1_lcc_pred_vol_cm3,-0.08501386202482689,0.05133640821852256,526,0.08501386202482689,0.24629658044962732
delta_v2_lcc_minus_v2_raw_dice,gt_voxels,-0.08311521952354023,0.056782153584777804,526,0.08311521952354023,0.24629658044962732
delta_v2_lcc_minus_v2_raw_dice,kin_gt_voxels,-0.08311521952354023,0.056782153584777804,526,0.08311521952354023,0.24629658044962732
delta_v2_lcc_minus_v2_raw_dice,gt_vol_cm3,-0.08283329104010215,0.057630261115565365,526,0.08283329104010215,0.24629658044962732
delta_v2_lcc_minus_v2_raw_dice,log_gt_vol_cm3,-0.08283329104010215,0.057630261115565365,526,0.08283329104010215,0.24629658044962732
delta_v2_lcc_minus_v2_raw_dice,v1_lcc_pred_to_gt_vol_ratio,0.08240369093307187,0.058942771389654404,526,0.08240369093307187,0.24629658044962732
delta_v2_lcc_minus_v2_raw_dice,v1_lcc_pred_voxels,-0.08024006648189007,0.06593447351356006,526,0.08024006648189007,0.24884946455117832
delta_v2_lcc_minus_v2_raw_dice,v1_raw_largest_component_voxels,-0.08024006648189007,0.06593447351356006,526,0.08024006648189007,0.24884946455117832
delta_v2_lcc_minus_v2_raw_dice,kin_v1_lcc_voxels,-0.08024006648189007,0.06593447351356006,526,0.08024006648189007,0.24884946455117832
delta_v2_lcc_minus_v2_raw_dice,v2_small100_pred_vol_cm3,-0.07478195836241344,0.08663519684191984,526,0.07478195836241344,0.30883649380720185
delta_v2_lcc_minus_v2_raw_dice,v2_small100_pred_voxels,-0.07414848678943835,0.08934442374754388,526,0.07414848678943835,0.30883649380720185
delta_v2_lcc_minus_v2_raw_dice,v2_small50_pred_vol_cm3,-0.07405559610851137,0.08974735717474241,526,0.07405559610851137,0.30883649380720185
delta_v2_lcc_minus_v2_raw_dice,v2_small50_pred_voxels,-0.07289959402192557,0.09488478638035032,526,0.07289959402192557,0.3139297971744751
delta_v2_lcc_minus_v2_raw_dice,v2_raw_pred_vol_cm3,-0.0724565931765476,0.09691475018286139,526,0.0724565931765476,0.3139297971744751
delta_v2_lcc_minus_v2_raw_dice,kin_ring_mean_first_enh,0.07195030821355988,0.09927694440560325,526,0.07195030821355988,0.3139297971744751
delta_v2_lcc_minus_v2_raw_dice,v2_raw_pred_voxels,-0.0706893414456703,0.10535962094528527,526,0.0706893414456703,0.3160788628358558
