v2_raw_component_count_bin,n,v1_raw_dice_mean,v1_raw_dice_std,v1_raw_dice_median,v1_raw_dice_q25,v1_raw_dice_q75,v1_lcc_dice_mean,v1_lcc_dice_std,v1_lcc_dice_median,v1_lcc_dice_q25,v1_lcc_dice_q75,v2_raw_dice_mean,v2_raw_dice_std,v2_raw_dice_median,v2_raw_dice_q25,v2_raw_dice_q75,v2_lcc_dice_mean,v2_lcc_dice_std,v2_lcc_dice_median,v2_lcc_dice_q25,v2_lcc_dice_q75,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_precision_median,v2_raw_precision_q25,v2_raw_precision_q75,v2_raw_recall_mean,v2_raw_recall_std,v2_raw_recall_median,v2_raw_recall_q25,v2_raw_recall_q75,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_precision_median,v2_lcc_precision_q25,v2_lcc_precision_q75,v2_lcc_recall_mean,v2_lcc_recall_std,v2_lcc_recall_median,v2_lcc_recall_q25,v2_lcc_recall_q75,delta_v2_raw_minus_v1_raw_dice_mean,delta_v2_raw_minus_v1_raw_dice_std,delta_v2_raw_minus_v1_raw_dice_median,delta_v2_raw_minus_v1_raw_dice_q25,delta_v2_raw_minus_v1_raw_dice_q75,delta_v2_lcc_minus_v2_raw_dice_mean,delta_v2_lcc_minus_v2_raw_dice_std,delta_v2_lcc_minus_v2_raw_dice_median,delta_v2_lcc_minus_v2_raw_dice_q25,delta_v2_lcc_minus_v2_raw_dice_q75,v2_raw_pred_to_gt_vol_ratio_mean,v2_raw_pred_to_gt_vol_ratio_std,v2_raw_pred_to_gt_vol_ratio_median,v2_raw_pred_to_gt_vol_ratio_q25,v2_raw_pred_to_gt_vol_ratio_q75,v2_raw_n_components_mean,v2_raw_n_components_std,v2_raw_n_components_median,v2_raw_n_components_q25,v2_raw_n_components_q75,v2_raw_largest_component_fraction_mean,v2_raw_largest_component_fraction_std,v2_raw_largest_component_fraction_median,v2_raw_largest_component_fraction_q25,v2_raw_largest_component_fraction_q75,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,gt_vol_cm3_q25,gt_vol_cm3_q75
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-10,12,0.7114069949059237,0.25008451433160517,0.7721262831322576,0.6925919030215488,0.8525564996887439,0.7157649882970483,0.2630393286644264,0.8015611793156543,0.7197875103403668,0.8550115795009822,0.7189066937345352,0.2521781447322911,0.794250276393704,0.6925919030215488,0.8525564996887439,0.7143891526623909,0.2625651240140489,0.7964990112761151,0.7197875103403668,0.8550115795009822,0.7789518404270878,0.27577073454148776,0.8818119936422676,0.7145997178575872,0.933864342376005,0.6841706002250233,0.258800928413445,0.7641809228491123,0.6146170287205894,0.8333200317031132,0.8092792238752109,0.2806825557829333,0.9030809458759002,0.8239253423251958,0.9557207937019967,0.6704867105188144,0.27635041502528834,0.7631715460882282,0.6132700644325344,0.8333200317031132,0.007499698828611484,0.0298698240038013,0.0,-0.0002412648978761256,0.0,-0.004517541072144239,0.03447183544179928,0.002248734882411063,0.00045296068148190094,0.002873705021357892,0.8394191538229888,0.2999941037582943,0.8281752311412771,0.6653468338109617,1.011745347726115,8.0,1.9069251784911847,8.0,6.75,10.0,0.9382896947979654,0.1448396335791666,0.9924962627695276,0.9798838482744483,0.9946917484829656,4.683235386812022,6.3729194954121695,3.011753279307269,1.7646863063607707,4.411103475456616
>10,514,0.5434869976370019,0.2325381479604944,0.5908005481985886,0.3816214597742858,0.7381304409438494,0.5653360702465919,0.2970280939021199,0.6761141784558644,0.38882826212867627,0.7911365057434647,0.5516114600790134,0.23253484882392705,0.6053489618549026,0.3837509416805175,0.7443435584274949,0.570531833852144,0.2982263721517563,0.6826923390823738,0.40791677507574486,0.7972004075426401,0.5254350773706642,0.2698290268899704,0.5574924720137686,0.3082495374446485,0.7521508253951737,0.733596685414256,0.22813241684860305,0.8095856963786283,0.6391590252119164,0.9045084777204139,0.5961157766113772,0.32631582476651744,0.7030599494570127,0.3897487020015869,0.8578009148798524,0.6365345587508828,0.3258773279499171,0.765411228130511,0.4752668742024642,0.8956601377415749,0.008124462442011527,0.041698674155936394,0.0,0.0,8.522402443261745e-05,0.018920373773130696,0.13927982563443808,0.01824098140354874,0.0026893251080281066,0.07227585798956082,3.3077031797116856,9.199406796408931,1.3796654490622986,0.9405348571644846,2.387813428038737,243.48832684824902,305.1831726509833,141.5,70.0,291.0,0.7897290048617926,0.18769372649476115,0.850524090519048,0.6589733386181471,0.9547185248344096,27.41073655965119,49.21184807354524,10.430230606968735,4.933218383789063,28.06733736104244
