cohort,overall,n,v1_raw_dice_mean,v1_raw_dice_std,v1_raw_dice_median,v1_raw_dice_q25,v1_raw_dice_q75,v1_lcc_dice_mean,v1_lcc_dice_std,v1_lcc_dice_median,v1_lcc_dice_q25,v1_lcc_dice_q75,v2_raw_dice_mean,v2_raw_dice_std,v2_raw_dice_median,v2_raw_dice_q25,v2_raw_dice_q75,v2_lcc_dice_mean,v2_lcc_dice_std,v2_lcc_dice_median,v2_lcc_dice_q25,v2_lcc_dice_q75,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_precision_median,v2_raw_precision_q25,v2_raw_precision_q75,v2_raw_recall_mean,v2_raw_recall_std,v2_raw_recall_median,v2_raw_recall_q25,v2_raw_recall_q75,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_precision_median,v2_lcc_precision_q25,v2_lcc_precision_q75,v2_lcc_recall_mean,v2_lcc_recall_std,v2_lcc_recall_median,v2_lcc_recall_q25,v2_lcc_recall_q75,delta_v2_raw_minus_v1_raw_dice_mean,delta_v2_raw_minus_v1_raw_dice_std,delta_v2_raw_minus_v1_raw_dice_median,delta_v2_raw_minus_v1_raw_dice_q25,delta_v2_raw_minus_v1_raw_dice_q75,delta_v2_lcc_minus_v2_raw_dice_mean,delta_v2_lcc_minus_v2_raw_dice_std,delta_v2_lcc_minus_v2_raw_dice_median,delta_v2_lcc_minus_v2_raw_dice_q25,delta_v2_lcc_minus_v2_raw_dice_q75,v2_raw_pred_to_gt_vol_ratio_mean,v2_raw_pred_to_gt_vol_ratio_std,v2_raw_pred_to_gt_vol_ratio_median,v2_raw_pred_to_gt_vol_ratio_q25,v2_raw_pred_to_gt_vol_ratio_q75,v2_raw_n_components_mean,v2_raw_n_components_std,v2_raw_n_components_median,v2_raw_n_components_q25,v2_raw_n_components_q75,v2_raw_largest_component_fraction_mean,v2_raw_largest_component_fraction_std,v2_raw_largest_component_fraction_median,v2_raw_largest_component_fraction_q25,v2_raw_largest_component_fraction_q75,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,gt_vol_cm3_q25,gt_vol_cm3_q75
DUKE,acceptable,121,0.5272513975942492,0.23960787499419434,0.5650330380446911,0.37940731126973826,0.7090327737809752,0.5567459073273439,0.30885169419263103,0.6904099424967538,0.36743692788568877,0.8029527166323069,0.5462947076513553,0.24323970826559185,0.5827173608814025,0.40123055887882414,0.7285534816941852,0.5714726442550209,0.3112739270166535,0.6983261096995965,0.38794570010068397,0.818743921078227,0.5209498034351172,0.2814516187433292,0.554838361195884,0.34175574991901525,0.7557858376511226,0.7270852533263861,0.23224030104932772,0.7904183884297521,0.6661657901327322,0.8878383530308807,0.6080941692269957,0.34708259508008155,0.7487736510161177,0.322032008029889,0.903472014366956,0.6204534102178153,0.3302656492342678,0.7230598976345276,0.5053074495553218,0.8814444871302344,0.019043310057106057,0.044608116646939776,0.007340153364116753,0.0,0.02962944413746682,0.025177936603665647,0.1532509972809979,0.025135543340569222,0.002826318344079537,0.08873151142019864,4.259958968414746,14.168477274869218,1.4308546925250951,0.9064374353671147,2.1912664661342185,268.35537190082647,339.2964500134588,145.0,56.0,326.0,0.7507899238146216,0.20453377890676475,0.8062278402959766,0.5910874897792314,0.9245915828194309,16.586102115819802,27.445489106678856,6.435189141226297,3.474176869812873,21.591737804848684
DUKE,good,149,0.5764054011324438,0.2435568460396221,0.642954987863786,0.4184541792547835,0.7686206469203123,0.6047600585233548,0.2833829313647593,0.7140753510756743,0.49580205536841027,0.7972992552667421,0.5796569507371359,0.2430191096466682,0.6440323844345782,0.4184594468711842,0.7713558990412835,0.6058292180438968,0.2836874432545183,0.7140753510756743,0.5056526207605344,0.7972877033860242,0.565069254381572,0.2862666840315623,0.6340613217614001,0.3296838227770388,0.7955763194393751,0.7463008975983896,0.21851944736694864,0.8200599587517807,0.6516125970050075,0.9069767441860465,0.6409797404794088,0.3185591511438358,0.7456941231854209,0.5310688154116884,0.894606874753062,0.6582784075083328,0.3056406052749721,0.7854878159253555,0.50656282249742,0.8941321803582458,0.003251549604692025,0.011957895918709929,0.0,0.0,2.4387207502529762e-05,0.026172267306760897,0.11481681666854564,0.018702118701545034,0.0025358290201898948,0.06415454716856339,3.2824904634942262,7.304765410883482,1.261104015893288,0.8939722825179492,2.1686937605062786,288.9261744966443,397.6012210738994,149.0,58.0,352.0,0.8067972335356627,0.1823230420694294,0.8792470648837758,0.7045812033031852,0.959349593495935,25.44436443296448,52.99131041691333,9.451791259670301,4.0190048465193575,21.280566669967314
DUKE,poor,21,0.551415211181682,0.20742245955032507,0.5913080194227464,0.4448091816512869,0.7414623006113414,0.5870486976455976,0.2659974918229372,0.6559724247646825,0.5315833647565411,0.7898489340674856,0.58938088026414,0.19807444362194962,0.6426780067604405,0.5055351463300377,0.7487448930938736,0.6196030792549321,0.2556384667394488,0.7398531117124082,0.5903203031569241,0.7814673940243231,0.6071674722591207,0.25182893707721693,0.7141330245607784,0.38294706723891275,0.7807820687340332,0.6929437118624845,0.2384558466166551,0.7641260478112387,0.6266680676683829,0.8434591911817749,0.6845986632659207,0.30429523456104035,0.8103796899573129,0.5234553208370525,0.9395885013862542,0.6430187458577818,0.29603847564854796,0.7127152317880795,0.45072896539610047,0.8376448182828122,0.03796566908245812,0.052605602417814555,0.030391796503239976,0.006671188522870186,0.06363429673466037,0.030222198990791954,0.16434479960071888,0.020161797801347414,0.004689779294873353,0.08478515682688637,1.5417146843476994,1.41354190077255,1.0077043050153143,0.7880149976977219,1.8740206831714192,231.42857142857142,266.3979300648883,150.0,54.0,298.0,0.7692561538507603,0.20480161290840196,0.808263877968234,0.5892140468227425,0.9548679707281783,16.70614242681699,18.621436262485126,11.455126385882677,5.310910970054299,23.413140064586102
ISPY1,acceptable,80,0.5218238246169805,0.21977698009893473,0.5457329620989078,0.36222409307233483,0.7061230888364569,0.528839684998018,0.2837635668016388,0.6171506738876791,0.36453145591035996,0.7553089263874491,0.5307752849096276,0.21416507215096467,0.545733459793589,0.3629370395405424,0.7108364106282821,0.5395988783884192,0.278193934488012,0.6235449041994279,0.3820984318578061,0.7560846500617141,0.5039584426132983,0.23207715123762868,0.5484745615930664,0.3009017447582062,0.6875291259349126,0.7020228657637442,0.23362313926625036,0.7759877193190122,0.5406108928046705,0.8915941922580789,0.5558030317817538,0.2905056428456543,0.6618421143020049,0.38465912367814104,0.7628451289112939,0.621878980089744,0.31942575842537035,0.7415622490959881,0.4351390736441673,0.889400889778194,0.008951460292647033,0.07759695594126444,0.0,0.0,9.724809448496963e-06,0.008823593478791728,0.11835321544973197,0.012226455675516057,0.0015811717718488263,0.04385167351535732,3.1156151244477543,8.807898892260022,1.3342178709596906,0.9955007135341598,2.2392898285108167,194.4,186.91855669099056,135.0,71.5,258.0,0.8183279042027702,0.18525921161159556,0.9034243227933707,0.7238883283160218,0.9646040586912055,35.12810780723477,67.63848553132748,12.583160841395147,5.847716012827004,37.479208203652526
ISPY1,good,5,0.4103016613154148,0.22503424346553988,0.34601493944448475,0.2430391511443287,0.4960582171012735,0.2972449127212043,0.4136471115453045,0.0,0.0,0.6388129636860601,0.39774322116632466,0.24835553840662625,0.27612891159245795,0.2192644968978545,0.4959636156907334,0.30224023156222984,0.42202737557981107,0.0,0.0,0.6387465221848001,0.30470357902116707,0.24201232624440105,0.16625142519319286,0.15367667569701526,0.37877735324765544,0.7173668955742862,0.23371445077885492,0.814327082184225,0.7181429041817583,0.8270362138841678,0.2826661747176023,0.39807020093213435,0.0,0.0,0.5751582278481012,0.3255606893653698,0.4509054006584133,0.0,0.0,0.7181429041817583,-0.012558440149090161,0.03748250693785139,-9.460141054012938e-05,-0.02377465424647421,-5.051695165014802e-06,-0.09550298960409473,0.19283757777289603,-0.20708592689810715,-0.2192644968978545,0.08218148087387922,3.341203625934651,2.26670786285825,2.0653360544483395,1.8959499506091535,4.898166023166024,408.8,224.54776774664228,484.0,225.0,495.0,0.7624999104629038,0.09829746171807129,0.8153506470173846,0.6585620006946856,0.8330220395965633,42.07377598871244,34.78006511562577,30.252392578125,16.0673583984375,60.19784480391536
ISPY1,no_times,13,0.6242949144732752,0.1489258280957095,0.63533110110086,0.5067332455226374,0.7467570264427075,0.6333538937644836,0.22658810648200695,0.6838002784754121,0.5539918245364484,0.7612345260301848,0.6242874927066759,0.1489280976569556,0.6353190566810397,0.5067365661861075,0.746725980127219,0.6333477944658401,0.22658885969148607,0.683791714651936,0.5539958044771401,0.761202255288482,0.6118414315461282,0.2070255505760373,0.6038625999968443,0.4254263286113868,0.7924553275976175,0.7045245333257036,0.1718643182551675,0.705986399905664,0.6594465088988852,0.816542505047692,0.6659382024008443,0.26016142443264817,0.7003196788342874,0.6234828367084276,0.826056953581451,0.6518280517923759,0.26261694579898115,0.7057898667505208,0.5899053627760252,0.8164380700410778,-7.421766599317122e-06,1.6421438677548887e-05,-5.7023330892191915e-06,-1.28372231507079e-05,0.0,0.00906030175916414,0.12804562709298925,0.026478053647752575,0.010609131696084018,0.04847265797089628,1.326753735879202,0.6786677669843648,1.2518077153658864,0.8641400136960158,1.554963170817257,189.84615384615384,136.61249708198133,143.0,110.0,262.0,0.8607408934108496,0.11274865726755816,0.8599182752097986,0.8394413770704774,0.9590558129274211,62.66171270804778,54.97309003086349,37.577496659997514,24.96595126343891,99.77130628867599
ISPY1,poor,73,0.5311187035758165,0.2548688224786256,0.5557973267018962,0.34101789291413437,0.7517875383043923,0.5245753581410686,0.3330321902068956,0.651385549670016,0.1310793048050241,0.8036462182803646,0.5346200867630946,0.25480516995069785,0.5755030951165938,0.3410626379222543,0.7519575134472662,0.5252755275381126,0.3332811351200763,0.651385549670016,0.1310816978548608,0.8036462182803646,0.5142591593193423,0.2889572907592491,0.5947646974681734,0.2731166675590298,0.7473550156739812,0.7164913430811809,0.23954837984798824,0.7939003799071338,0.6252430133657351,0.8919931091304022,0.5546993670724456,0.3541705839899661,0.7096500330157532,0.25115653124737153,0.8424554210343094,0.5922741468197961,0.3584713597074119,0.754756242568371,0.26034491823965505,0.8745376955903271,0.0035013831872780367,0.023133637179511685,0.0,0.0,5.456702455719498e-06,-0.009344559224981924,0.14702704576764294,0.010395739757058431,4.002566645344707e-06,0.04891294623546427,3.3325021225636515,8.037008786194805,1.3422100547536087,0.9372795459152645,2.6939672594987876,215.63013698630138,247.26366420220984,119.0,62.0,288.0,0.8036525065233957,0.17656596726762375,0.8579196674561361,0.7081153059884844,0.9574382621828756,30.038976013451,40.11102786109002,12.430419921875,6.4251688559306785,47.191162109375
NACT,acceptable,12,0.5496184548112072,0.20452118023913524,0.5717005206540389,0.43504404349850556,0.6420108001698455,0.5965059545780854,0.2950682592500433,0.7002009212461651,0.5551415134083936,0.7493007965029584,0.5462877108464234,0.2069860261801586,0.5717080725826645,0.4252129934256983,0.6420108001698455,0.5384244166957487,0.3388406640401099,0.6905000477433126,0.24905460777164026,0.7493007965029584,0.49499112172559195,0.2666146905496553,0.43455533001211455,0.3659480425793709,0.6963675836975304,0.8442094159340859,0.2195709727756752,0.915452029191729,0.9019792549452499,0.9521483652981495,0.5337448799595946,0.3413512315773604,0.5993274126536949,0.3859606712853381,0.762741976753863,0.6783324368543208,0.3871139459672697,0.9055306706434814,0.48467900106638184,0.9213241291539679,-0.0033307439647838736,0.011646944562754443,0.0,-3.579306514234215e-07,2.8391138883268607e-07,-0.007863294150674568,0.21488731967218166,0.01566073026458631,-0.015177789058866242,0.07879988754336312,3.2493486421910913,4.55478645011358,2.092775559456746,1.3005748524221867,2.686441909879421,142.25,138.0139156356739,104.0,73.25,162.25,0.7867164286357405,0.182211340715192,0.8401386758212761,0.6353829165496069,0.9459835505433444,42.4642587710228,103.23137726454502,7.081567188827103,4.657598599338598,11.037748626134999
NACT,poor,52,0.564371585172678,0.2158095990204737,0.5980236769009013,0.4188371535179705,0.7139983949407753,0.613256177452808,0.27693984910027375,0.7084276539845555,0.44915409819786184,0.8360168510358115,0.5607390743573374,0.22002803585647634,0.5980629351171571,0.41885718068519556,0.7140046811045204,0.6092074049351388,0.2842565841742827,0.7084276539845555,0.45090633031009403,0.8360168510358115,0.5031797271617899,0.260394797684272,0.4877765728879042,0.3099152056484942,0.7454833893256714,0.7732483164138966,0.23580051259735804,0.8804260012938856,0.713577173998952,0.929801707829657,0.6003874947139363,0.3113779398872554,0.6929354371881447,0.3777506248583345,0.8581446377789543,0.7179803118973981,0.3114718217394872,0.8638842514707796,0.6252297094054396,0.9245011507908658,-0.003632510815340636,0.017236122217897304,0.0,-5.373335280667302e-06,0.0,0.04846833057780145,0.13596498068940022,0.017540257817747706,0.004859842880565374,0.11265614481858713,2.0738937750421873,1.5330088390492664,1.7073039435223205,1.0480809938126567,2.5076011349708165,141.46153846153845,103.20481474147425,109.0,73.5,179.5,0.795996988549502,0.19251898016213737,0.8505002133183156,0.6215611359630732,0.9735240039923705,28.052377785619885,33.758500414510195,12.882407023821724,7.053149328665313,38.28406436837504
