primary_failure_type,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
good_segmentation,v1_raw,252,0.7243082461424011,0.12006742915653888,0.7455377338083373,0.5804424678707163,0.13663627102982398,0.5943090622211499,0.6734169194462398,0.17768306367026776,0.6872668852922206,0.8324159889305324,0.1086985986508815,0.8598140454267647,28.710094476993092,34.9222137232843,15.556986399709837,24.215993160849457,30.909253971549145,11.563412283408873,1.3730932386807195,0.6115645647006409,1.2152599475907198,0.8442523792489532,0.1648414565534867,0.9205977741262024
good_segmentation,v1_lcc,252,0.7950002347659154,0.09648448135107435,0.7977297708446076,0.6681363546841061,0.10855643902842957,0.6635197378675464,0.7864205022105827,0.13484110919748152,0.8074366533271491,0.8255750831575587,0.12351463454400266,0.8534257645257409,24.763567991053236,31.58333182365907,13.003701295593068,24.215993160849457,30.909253971549145,11.563412283408873,1.0823834355736333,0.26467170564043613,1.0563671316646692,,,
good_segmentation,v2_raw,252,0.7366052638573459,0.10544931583618382,0.7527220161206314,0.5934606585688289,0.12621570135629098,0.6034923868077724,0.6931966740734903,0.16783416311351926,0.7186604174813822,0.8304085104143505,0.10041558878805362,0.8536920874855112,27.85167085108314,33.870824575183825,15.172057948511792,24.215993160849457,30.909253971549145,11.563412283408873,1.31346827491246,0.5358537732462112,1.1950917086442097,0.8532311994302249,0.15984607132203568,0.9229609571089149
good_segmentation,v2_lcc,252,0.8067889254350922,0.06103859181847637,0.8046523765913387,0.6805637329417369,0.08674197001201013,0.6731540441726979,0.8070047495291782,0.10940485251888417,0.823682681169847,0.82753048530524,0.10257837067796607,0.849348718533973,24.32620378811731,31.307003858891672,12.734696088769997,24.215993160849457,30.909253971549145,11.563412283408873,1.0542379980565968,0.24051982743238964,1.0486523803267005,,,
good_segmentation,v1_small50,252,0.7346918775934252,0.11682338041984344,0.7532686069843931,0.5928957285280002,0.13480531074854432,0.6041968841013907,0.6903243318085062,0.17571544297560707,0.7161093142323764,0.8313647183523609,0.10939164221477364,0.8598140454267647,28.101095451955977,34.49368672658183,15.00608147866977,24.215993160849457,30.909253971549145,11.563412283408873,1.3275877223177142,0.5684522824154408,1.1900378573626744,,,
good_segmentation,v1_small100,252,0.7381468487933581,0.11569297180918628,0.7572503733727507,0.5970758766640848,0.1341351000173943,0.6093346958693058,0.6960137825215796,0.17490500905570747,0.7226317740824255,0.8308867349228429,0.10952138937612313,0.8574277894246447,27.92545819369796,34.39160051791398,14.857479969154902,24.215993160849457,30.909253971549145,11.563412283408873,1.312354030592477,0.5541347357386974,1.1835267339836253,,,
good_segmentation,v2_small50,252,0.7466927863503837,0.10194634061123306,0.7604725693870332,0.6057731131787472,0.1241676416878556,0.6135182484449921,0.7102409285722766,0.16535099451228924,0.7422270022623727,0.8291618047519996,0.1014861801655857,0.8532894653279076,27.260551883425492,33.442543768630074,14.437354648925353,24.215993160849457,30.909253971549145,11.563412283408873,1.271354446245694,0.498366251682586,1.153063867829403,,,
good_segmentation,v2_small100,252,0.749700881319117,0.10089306470590122,0.762671271353393,0.609479121780108,0.12349044592479322,0.6163854295750182,0.7154198312340472,0.16444996122824823,0.7459706912415154,0.8286279419696396,0.10169957793269986,0.8517876644580209,27.102671796821213,33.345046957188956,14.232443408795227,24.215993160849457,30.909253971549145,11.563412283408873,1.258629743794007,0.48749731581537803,1.1425340455512667,,,
good_segmentation,kin_v1_raw,252,0.7243082461424011,0.12006742915653888,0.7455377338083373,,,,0.6734169194462398,0.17768306367026776,0.6872668852922206,0.8324159889305324,0.1086985986508815,0.8598140454267647,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,kin_v1_lcc,252,0.7950002347659154,0.09648448135107435,0.7977297708446076,,,,0.7864205022105827,0.13484110919748152,0.8074366533271491,0.8255750831575587,0.12351463454400266,0.8534257645257409,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
good_segmentation,kin_v2_raw,252,0.7366052638573459,0.10544931583618382,0.7527220161206314,,,,0.6931966740734903,0.16783416311351926,0.7186604174813822,0.8304085104143505,0.10041558878805362,0.8536920874855112,,,,24.215993160849457,30.909253971549145,11.563412283408873,,,,,,
