gt_volume_bin,n,v1_raw_dice_mean,v1_raw_dice_std,v1_raw_dice_median,v1_raw_dice_q25,v1_raw_dice_q75,v1_lcc_dice_mean,v1_lcc_dice_std,v1_lcc_dice_median,v1_lcc_dice_q25,v1_lcc_dice_q75,v2_raw_dice_mean,v2_raw_dice_std,v2_raw_dice_median,v2_raw_dice_q25,v2_raw_dice_q75,v2_lcc_dice_mean,v2_lcc_dice_std,v2_lcc_dice_median,v2_lcc_dice_q25,v2_lcc_dice_q75,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_precision_median,v2_raw_precision_q25,v2_raw_precision_q75,v2_raw_recall_mean,v2_raw_recall_std,v2_raw_recall_median,v2_raw_recall_q25,v2_raw_recall_q75,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_precision_median,v2_lcc_precision_q25,v2_lcc_precision_q75,v2_lcc_recall_mean,v2_lcc_recall_std,v2_lcc_recall_median,v2_lcc_recall_q25,v2_lcc_recall_q75,delta_v2_raw_minus_v1_raw_dice_mean,delta_v2_raw_minus_v1_raw_dice_std,delta_v2_raw_minus_v1_raw_dice_median,delta_v2_raw_minus_v1_raw_dice_q25,delta_v2_raw_minus_v1_raw_dice_q75,delta_v2_lcc_minus_v2_raw_dice_mean,delta_v2_lcc_minus_v2_raw_dice_std,delta_v2_lcc_minus_v2_raw_dice_median,delta_v2_lcc_minus_v2_raw_dice_q25,delta_v2_lcc_minus_v2_raw_dice_q75,v2_raw_pred_to_gt_vol_ratio_mean,v2_raw_pred_to_gt_vol_ratio_std,v2_raw_pred_to_gt_vol_ratio_median,v2_raw_pred_to_gt_vol_ratio_q25,v2_raw_pred_to_gt_vol_ratio_q75,v2_raw_n_components_mean,v2_raw_n_components_std,v2_raw_n_components_median,v2_raw_n_components_q25,v2_raw_n_components_q75,v2_raw_largest_component_fraction_mean,v2_raw_largest_component_fraction_std,v2_raw_largest_component_fraction_median,v2_raw_largest_component_fraction_q25,v2_raw_largest_component_fraction_q75,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,gt_vol_cm3_q25,gt_vol_cm3_q75
<1 cm3,16,0.1945040551260975,0.21703129799544565,0.1337639824485425,0.014850521436848204,0.26366813754057716,0.16227707901922572,0.24266389872004931,0.01363100179125344,0.0,0.3289951141461185,0.20277126407961885,0.2220965682236441,0.16470182230293734,0.014850246113629412,0.2637140074180345,0.16184888975226225,0.2556483522718539,0.0,0.0,0.32902665136003084,0.1545682990695363,0.206041107259134,0.09347883202040563,0.007554750721521136,0.15553821936321655,0.5947467908174704,0.38216099982862034,0.7343625175429127,0.32242990654205606,0.9055609503463455,0.153542925636803,0.2678206788511636,0.0,0.0,0.2059680050975735,0.3347027572863076,0.42294580504578894,0.0,0.0,0.8479716561949455,0.008267208953521342,0.017107567603766017,0.0,0.0,0.0041925463187887525,-0.0409223743273566,0.10073658697880816,0.0,-0.11857685547317014,0.02699516029128352,13.885067146221962,19.486754292702678,6.833882265757792,1.9665171770942746,13.534016267648862,167.8125,178.80388465205857,78.0,29.75,292.5,0.5816799519102076,0.24543879456028472,0.5261126191884018,0.40896805870227704,0.8146265220642266,0.655684037825431,0.20786592529100104,0.6758178382791812,0.4948755562609558,0.8213829853399351
1-5 cm3,125,0.44228953847101565,0.24563965886453093,0.44079578139980824,0.2574945520937629,0.6423944839114083,0.4680096107548792,0.3360917124815039,0.5834670088760561,0.024518795806738103,0.7754104769351056,0.4551981331501224,0.25210646392601466,0.45676916932907347,0.23929186969381025,0.6789315407748099,0.47565922070670075,0.34183884014486066,0.5744658457004526,0.024518999319377812,0.8029527166323069,0.3828735522085882,0.27067513395085324,0.33149295774647886,0.1370327045864405,0.5970978144034397,0.7980385972233107,0.20273605683237328,0.8744954128440366,0.745872801082544,0.9278812161206693,0.4580323475611062,0.3603887772961527,0.4894904458598726,0.01243077648167786,0.7862429255550718,0.6144493177785555,0.38410313140325775,0.8093510681176945,0.17676767676767677,0.9141342756183746,0.012908594679106836,0.03429755951001064,1.8627245377059176e-07,0.0,0.014572605579665776,0.02046108755657832,0.17743926246607122,0.033676653462974326,0.0,0.11727070590087518,6.778599142149209,16.07047315387188,2.414218204232587,1.261104015893288,5.079726651480637,171.864,238.04686933459132,81.0,42.0,173.0,0.7106647586213645,0.19449141499567998,0.7157722913691084,0.5312931142606296,0.8793261307452848,2.982291607105819,1.1333970051983926,3.030578645388169,2.114222495698379,3.9923326785700257
5-20 cm3,208,0.5927091308021484,0.2064692467886753,0.6374694498873041,0.4512845369291482,0.7676640012368674,0.6197224146583924,0.28013497541117915,0.7145037388862534,0.5360977990742115,0.8139771937750273,0.6009905734665651,0.2050409311687992,0.6426859914554954,0.4722781127512278,0.7714668048118087,0.6267245398170652,0.27829724964024805,0.7333265340856567,0.5499639197408425,0.8235084450476959,0.5526835159676102,0.25144818151332127,0.5721352229380924,0.34803386155683064,0.7572285591091534,0.7721243254892175,0.18038873869333583,0.832986390809004,0.6756125606302308,0.9056612982449708,0.6262081281783026,0.306333358381724,0.7294657513791034,0.4561076523123846,0.867756012389976,0.6906379933715385,0.29616203093900956,0.8120095728211719,0.5909608267680949,0.9028474647916118,0.008281442664416862,0.053604174779783145,0.0,0.0,4.679748724317756e-05,0.025733966350500112,0.14497087692149127,0.025192686657131313,0.006129978146288878,0.08178913599383009,2.0823491313593965,2.4400708591328857,1.3896436858930021,1.013922396552159,2.2202156257767616,168.26923076923077,224.27890808967788,103.5,54.75,198.5,0.8089250536697471,0.17577521005912272,0.8774735109047518,0.6845659648132449,0.9587188459956605,10.238239434349016,4.108875689901813,9.158471428326475,7.081163260299945,12.643769263295756
>20 cm3,177,0.6000420583420829,0.20580493181105017,0.6488649419595103,0.48119802171690657,0.7489775097283291,0.6167910910096027,0.24180548357859755,0.7040315361120034,0.5326532504868775,0.7762822043079861,0.6045481618945906,0.204198906030647,0.6568765726020287,0.4974617912259701,0.7487448930938736,0.6181940300882903,0.24160711327824605,0.7069956976753976,0.5373112553796776,0.7754330351375283,0.6448056142440531,0.22272783216626219,0.6741353237420054,0.510962294621542,0.8176570321330534,0.652011923716821,0.2514420641957922,0.7105288534391315,0.5197965187545968,0.8512637684244133,0.7127279036629167,0.25359477958907345,0.7901854430843656,0.6164239208159271,0.8989454550700385,0.6181383743728769,0.2821499516611313,0.7024567346740436,0.45072896539610047,0.8476571561122709,0.004506103552507679,0.0293470209286786,0.0,-5.095180670933175e-06,1.1122923790851669e-05,0.013645868193699657,0.09208325062703616,0.010609131696084018,0.0017093735815299493,0.038108332790656396,1.1729823603769798,0.8298778248196186,1.0081511343907248,0.6756812326894933,1.4748655316051278,373.33898305084745,381.62332437931985,250.0,138.0,495.0,0.8518858735310492,0.1571012558959067,0.9033894525588136,0.8015038333005701,0.966777973595523,65.72026112126794,69.01182785854627,43.08619207717854,27.6904296875,72.87097325912328
