cohort,n,first_post_s_mean,first_post_s_std,first_post_s_median,first_post_s_q25,first_post_s_q75,last_post_s_mean,last_post_s_std,last_post_s_median,last_post_s_q25,last_post_s_q75,early_dev_s_mean,early_dev_s_std,early_dev_s_median,early_dev_s_q25,early_dev_s_q75,late_dev_s_mean,late_dev_s_std,late_dev_s_median,late_dev_s_q25,late_dev_s_q75,gt_max_enh_mean,gt_max_enh_std,gt_max_enh_median,gt_max_enh_q25,gt_max_enh_q75,gt_auc_enh_norm_mean,gt_auc_enh_norm_std,gt_auc_enh_norm_median,gt_auc_enh_norm_q25,gt_auc_enh_norm_q75,gt_observed_uptake_rate_mean,gt_observed_uptake_rate_std,gt_observed_uptake_rate_median,gt_observed_uptake_rate_q25,gt_observed_uptake_rate_q75,gt_late_slope_mean,gt_late_slope_std,gt_late_slope_median,gt_late_slope_q25,gt_late_slope_q75,gt_washout_index_mean,gt_washout_index_std,gt_washout_index_median,gt_washout_index_q25,gt_washout_index_q75,tumor_to_ring_max_enh_diff_mean,tumor_to_ring_max_enh_diff_std,tumor_to_ring_max_enh_diff_median,tumor_to_ring_max_enh_diff_q25,tumor_to_ring_max_enh_diff_q75,tumor_to_ring_auc_norm_diff_mean,tumor_to_ring_auc_norm_diff_std,tumor_to_ring_auc_norm_diff_median,tumor_to_ring_auc_norm_diff_q25,tumor_to_ring_auc_norm_diff_q75,tumor_to_fg_max_enh_diff_mean,tumor_to_fg_max_enh_diff_std,tumor_to_fg_max_enh_diff_median,tumor_to_fg_max_enh_diff_q25,tumor_to_fg_max_enh_diff_q75,v2_raw_dice_mean,v2_raw_dice_std,v2_raw_dice_median,v2_raw_dice_q25,v2_raw_dice_q75,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_precision_median,v2_raw_precision_q25,v2_raw_precision_q75,v2_raw_recall_mean,v2_raw_recall_std,v2_raw_recall_median,v2_raw_recall_q25,v2_raw_recall_q75,v2_lcc_dice_mean,v2_lcc_dice_std,v2_lcc_dice_median,v2_lcc_dice_q25,v2_lcc_dice_q75,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_precision_median,v2_lcc_precision_q25,v2_lcc_precision_q75,v2_lcc_recall_mean,v2_lcc_recall_std,v2_lcc_recall_median,v2_lcc_recall_q25,v2_lcc_recall_q75,v2_kinetic_cc_dice_mean,v2_kinetic_cc_dice_std,v2_kinetic_cc_dice_median,v2_kinetic_cc_dice_q25,v2_kinetic_cc_dice_q75,v2_kinetic_cc_precision_mean,v2_kinetic_cc_precision_std,v2_kinetic_cc_precision_median,v2_kinetic_cc_precision_q25,v2_kinetic_cc_precision_q75,v2_kinetic_cc_recall_mean,v2_kinetic_cc_recall_std,v2_kinetic_cc_recall_median,v2_kinetic_cc_recall_q25,v2_kinetic_cc_recall_q75,delta_v2_lcc_minus_raw_dice_mean,delta_v2_lcc_minus_raw_dice_std,delta_v2_lcc_minus_raw_dice_median,delta_v2_lcc_minus_raw_dice_q25,delta_v2_lcc_minus_raw_dice_q75,delta_kineticcc_minus_lcc_dice_mean,delta_kineticcc_minus_lcc_dice_std,delta_kineticcc_minus_lcc_dice_median,delta_kineticcc_minus_lcc_dice_q25,delta_kineticcc_minus_lcc_dice_q75
DUKE,291,240.9725085910653,107.42259089558281,210.0,185.0,256.5,529.8453608247422,160.40997089609672,479.0,421.0,586.5,150.9725085910653,107.42259089558281,120.0,95.0,166.5,49.302405498281786,80.90295140424583,27.0,14.0,46.5,1.5919464396447252,0.5652390201047856,1.5269430875778198,1.2283909916877747,1.82150012254715,1.1330081469084292,0.4255718165551604,1.1007972413181948,0.863889908896267,1.3432161768411341,0.006278957296541031,0.0029758401427773364,0.0058453461298575,0.0043119404880183,0.007877012059127199,-0.0006392302192926641,0.0006586714164775218,-0.00045569944893850004,-0.0007654744572315501,-0.00025645332419135,0.06682861476010062,0.11403235104553801,0.0171413421630859,0.0,0.08991050720214841,0.5095696265959658,0.4601390714209054,0.5002849102020264,0.21742275357246393,0.7461690902709961,0.5023857625882387,0.3438025507657085,0.4607271019739049,0.2923866111334418,0.6527739228207186,0.9421269920785812,0.5294555325433431,0.9050787687301636,0.5999616980552673,1.1669637858867645,0.5664864047120075,0.24005278546587053,0.6367840626111704,0.4091076233839749,0.7638660813375819,0.5497620688520444,0.28227594565189795,0.5970978144034397,0.33630946498476194,0.7813866774201068,0.7344603688789174,0.22545179790786643,0.801987631636141,0.6528835145964645,0.8972527386283653,0.5925374849063632,0.2932588680909898,0.7001227747084101,0.45123191452534417,0.8059269743826369,0.6304534286477069,0.329395836791674,0.7487736510161177,0.45261889165193725,0.9013198711306223,0.6414492749763252,0.3149329950578819,0.7547560194085874,0.5049193592959031,0.8862515641482029,0.24420838106642329,0.3528248167989357,0.0,0.0,0.6634607759311686,0.30753167068189824,0.39546025866055534,0.0,0.0,0.7553096869410534,0.25289112020034366,0.37101587184332896,0.0,0.0,0.6533399478878248,0.02605108019435581,0.13531594762929586,0.0214222590639324,0.0026566542617067,0.07417777759973851,-0.34832910383994,0.38837249796052575,-0.3530706581554039,-0.7429836089430226,0.0
ISPY1,171,359.9766081871345,147.0976447692594,370.0,311.0,434.0,655.9883040935673,252.01106390987943,683.0,592.5,751.0,277.4035087719298,130.16458264770563,280.0,221.0,344.0,237.953216374269,126.65473274942937,251.0,165.0,315.0,1.6850209870533637,0.6609443106909496,1.4690314531326294,1.1539713144302368,2.140858292579651,1.1696270930060255,0.5213764072301555,1.0335293356695576,0.7649496826847703,1.4988158426769667,0.1763534854959287,0.6249506950005984,0.0036714337264109,0.0025844191906069496,0.00659141294878745,-0.01666836439289653,0.06436429260166124,-0.0006738316779043,-0.0015846490859985,-0.0001995475650522,0.13741508309255568,0.2850385867701552,0.0029884576797485,0.0,0.16295155882835385,0.7914100029663733,0.5473380772644192,0.6833560466766357,0.34575924277305603,1.1737906634807587,0.6254338327082102,0.3998508724965694,0.5531678725555154,0.3205464222005619,0.8689386477836627,1.3009069690056014,0.6033863728613851,1.1846685409545898,0.8370755314826965,1.7650746554136276,0.5356359218566931,0.23021982679205003,0.5557973267018962,0.3634060614563914,0.7331395282241158,0.5107312897343937,0.2585590366036891,0.5676493759588672,0.291494335230679,0.720663267866398,0.7088383082873176,0.23040812475517422,0.7788923573357651,0.5980012292865018,0.8907824615885978,0.5336710308024728,0.30529550896899893,0.6402078596947061,0.3554602741012426,0.7678352145082599,0.5557182680913907,0.32244816189457914,0.6856610029009532,0.34940559253452264,0.8181774086500377,0.6028532119599553,0.3378683658065059,0.7329811421693192,0.3837735413171477,0.8852942051591454,0.28548868906884556,0.3523926702671085,0.0,0.0,0.6602304867305439,0.3419619941523976,0.3791919923131666,0.0,0.0,0.7417743302215053,0.30649884446936676,0.3858939420022346,0.0,0.0,0.7492753202564801,-0.0019648910542203876,0.1343200573655349,0.0124693590401093,0.00024042277137512833,0.04934763321911545,-0.24818234173362716,0.4038030985343173,0.0,-0.6730816863125602,0.0
NACT,64,441.734375,81.05989206253902,420.5,381.0,483.5,846.578125,205.77849122392948,781.5,723.0,910.5,351.734375,81.05989206253902,330.5,291.0,393.5,383.671875,137.4399787829478,339.0,290.75,417.75,1.1492073200643063,0.3174657071176351,1.101026475429535,0.9555309861898422,1.2917798161506655,0.7933415354904784,0.18831298600366747,0.7587794155358796,0.6686732502959887,0.8948235363862616,0.0024359406196936516,0.0006497780084554196,0.0023464378811735498,0.0021108652972962752,0.002812751152161825,-0.00023148957545915576,0.0002169208353263671,-0.00015226958908455,-0.000286831594845175,-9.594923073745258e-05,0.039023151621222475,0.07203617149672455,0.0,0.0,0.04367356002330777,0.3307740371674299,0.2991785855616106,0.33651870489120483,0.1691232919692993,0.4446086585521698,0.313314102607395,0.17566103489070095,0.32226991171233366,0.24043995906959514,0.38106648974918117,0.8322741281008348,0.28281224330565474,0.7937513291835785,0.6603920385241508,0.9769467934966087,0.558029443699041,0.21611066898421097,0.5880770442126917,0.4188571806851955,0.7140046811045204,0.5016443636425028,0.2594453509564477,0.4670324168578183,0.3099152056484941,0.7454833893256714,0.786553522573932,0.23282657244784394,0.8992817447146384,0.7510399396479593,0.9320874411332892,0.5959355946402533,0.2936547156108685,0.7038776991687654,0.419395878314673,0.8351874966908766,0.5878920044474971,0.31546882877863747,0.6552773940178328,0.3777506248583345,0.8507293159893091,0.7105463353268211,0.3239514296551741,0.888900232813115,0.610754684315903,0.9239261042382714,0.26030284557376787,0.3523614311676298,0.0,0.0,0.6507195467982466,0.29981314493827366,0.3791908339434983,0.0,0.0,0.6912163972996115,0.31821301313924505,0.42061169540397814,0.0,0.0,0.8538481714956268,0.03790615094121216,0.1533587785740952,0.01754025781774765,0.004577896509732075,0.11189445562472758,-0.3356327490664853,0.4088841896765036,-0.25472327876281714,-0.7252459255463909,0.0
