,gt_vol_cm3,log_gt_vol_cm3,early_dev_s,late_dev_s,n_phases,v2_raw_pred_vol_cm3,v2_lcc_pred_vol_cm3,v2_raw_pred_to_gt_vol_ratio,v2_lcc_pred_to_gt_vol_ratio,v2_raw_n_components,v2_raw_largest_component_fraction,v2_raw_second_largest_component_fraction,v1_raw_pred_to_gt_vol_ratio,v1_raw_n_components,v1_raw_largest_component_fraction,kin_tumor_to_ring_max_enh_diff,kin_tumor_to_ring_auc_norm_diff,kin_tumor_to_fg_max_enh_diff,kin_gt_max_enh,kin_gt_auc_enh,kin_gt_auc_enh_norm,kin_gt_late_slope,kin_gt_washout_index,kin_ring_max_enh,kin_ring_auc_enh,kin_ring_auc_enh_norm,kin_fg_max_enh,kin_fg_auc_enh,kin_fg_auc_enh_norm
gt_vol_cm3,1.0,1.0,0.05458027327665682,0.12248059981240222,-0.1337081517127432,0.7078715779210003,0.7497954714776431,-0.47718612625965384,-0.40811154732959054,0.4303257194077376,0.30435282367577227,-0.28786092040152256,-0.49378373893406247,0.416331315361172,0.31086730975966986,-0.10378902646548623,-0.13725792537056525,-0.0508569820667136,-0.061558368471882806,-0.10077663838747813,-0.06986678100652748,-0.04970663012735461,-0.1332895426934998,0.05049029743137289,0.03867599388584086,0.0817574393917999,-0.01484454348401939,-0.07847632515535344,-0.021346248790206624
log_gt_vol_cm3,1.0,1.0,0.05458027327665682,0.12248059981240222,-0.1337081517127432,0.7078715779210003,0.7497954714776431,-0.47718612625965384,-0.40811154732959054,0.4303257194077376,0.30435282367577227,-0.28786092040152256,-0.49378373893406247,0.416331315361172,0.31086730975966986,-0.10378902646548623,-0.13725792537056525,-0.0508569820667136,-0.061558368471882806,-0.10077663838747813,-0.06986678100652748,-0.04970663012735461,-0.1332895426934998,0.05049029743137289,0.03867599388584086,0.0817574393917999,-0.01484454348401939,-0.07847632515535344,-0.021346248790206624
early_dev_s,0.05458027327665682,0.05458027327665682,1.0,0.8141107316149102,-0.5351023586643117,0.07292231485120486,0.06045805940257698,0.04435492142519904,0.03407679633052473,-0.05679513285099146,0.014368669880400801,0.012482150122697969,0.04127758168013404,-0.050591022437256966,0.01604896169859647,0.0038814308094809093,-0.09576191484978704,0.08021508231457676,-0.18071285976479762,0.39835462105230063,-0.28428076186823753,0.16528044122823254,-0.025789045635976917,-0.23222403911564204,0.3029431122916522,-0.2916023072408009,-0.45397869135904606,-0.04804368866784329,-0.5178048368472422
late_dev_s,0.12248059981240222,0.12248059981240222,0.8141107316149102,1.0,-0.6407733735002681,0.12821607543863608,0.1251555689520869,0.022140637070490243,0.026208850597408843,-0.06291073624920977,0.056771474277101476,-0.024284725080547385,0.00018586521449411736,-0.07058333083721866,0.06406721993707554,-0.052444212138233776,-0.14218866198157193,0.04181480811137377,-0.2531824781896063,0.3395115928714905,-0.2985977445354329,0.20343360039041572,-0.06643342814829611,-0.2607305107279055,0.29093459760519336,-0.26239896849962985,-0.5283009685474105,-0.1376915731305256,-0.5607475596430512
n_phases,-0.1337081517127432,-0.1337081517127432,-0.5351023586643117,-0.6407733735002681,1.0,-0.1923690839932447,-0.1991738203210774,-0.07028163090026071,-0.11316654412815254,0.042836186203361146,-0.10703869608836611,0.08092361583109686,-0.010964079382639935,0.0881937385075431,-0.1281684685382019,-0.04638654693188122,0.07454055203530176,-0.16332451552376204,0.1854279682528242,-0.03287744430028973,0.2639082357108413,-0.17858849999956555,0.26624915151777756,0.29699747713740887,0.06959945069563865,0.3175876242989869,0.6506226954193441,0.5149918687400515,0.6851440950953303
v2_raw_pred_vol_cm3,0.7078715779210003,0.7078715779210003,0.07292231485120486,0.12821607543863608,-0.1923690839932447,1.0,0.973217817913452,0.17628283448789794,0.21319825562998412,0.7266916038092324,0.05943601726229557,-0.018110897983626174,0.15217630876709817,0.701419766125209,0.07658155424564035,-0.05343251491691979,-0.0550998704400195,0.09811848399362198,0.09876535625902513,0.04737145784353236,0.09082000026798405,0.009810762931093819,-0.09142946062361089,0.19733137361408443,0.1591689608506226,0.2104649832458434,0.022894124655872403,-0.04531235086945362,0.007170387350328332
v2_lcc_pred_vol_cm3,0.7497954714776431,0.7497954714776431,0.06045805940257698,0.1251555689520869,-0.1991738203210774,0.973217817913452,1.0,0.07722669651376865,0.17789709160822573,0.633564216652326,0.24984066801910668,-0.19163333580634517,0.051316513925719245,0.6094248832982613,0.25988042262899413,-0.062431791616259044,-0.06474606068078381,0.09667368090878918,0.08906911801438494,0.03114386993999982,0.08277800681252573,0.016916021351778058,-0.10634793486178187,0.19795483227712918,0.15007816167226504,0.20945332716530243,0.004161215166685362,-0.06958581147292922,-0.010852735773968562
v2_raw_pred_to_gt_vol_ratio,-0.47718612625965384,-0.47718612625965384,0.04435492142519904,0.022140637070490243,-0.07028163090026071,0.17628283448789794,0.07722669651376865,1.0,0.9290854013628019,0.2703364603210102,-0.4315199952175154,0.4488304454616386,0.9877124778526645,0.2568742058203826,-0.41342818594382436,0.09719901010815218,0.1519753619588397,0.21200420116531832,0.214816714371263,0.21821310297699356,0.22072011436734637,0.0662377391936008,0.08868042397574522,0.15259865162795158,0.14351292043862804,0.12797091754646175,0.024589185606782884,0.04254205545826818,0.015176678791227026
v2_lcc_pred_to_gt_vol_ratio,-0.40811154732959054,-0.40811154732959054,0.03407679633052473,0.026208850597408843,-0.11316654412815254,0.21319825562998412,0.17789709160822573,0.9290854013628019,1.0,0.21086253222744825,-0.1532045429480513,0.19240928997626278,0.9091840813352202,0.1965459696093045,-0.1452493746179939,0.09192698053095885,0.15581000755508875,0.24976018519759186,0.2426091339270898,0.2253252347179519,0.2492443365178771,0.08197784557128501,0.08576802404684343,0.2043222941083707,0.16150421507987472,0.1705529232421535,0.003106594778227739,0.006607043651509419,-0.008190540781503329
v2_raw_n_components,0.4303257194077376,0.4303257194077376,-0.05679513285099146,-0.06291073624920977,0.042836186203361146,0.7266916038092324,0.633564216652326,0.2703364603210102,0.21086253222744825,1.0,-0.34264053978649683,0.2233704806231857,0.27952153334006424,0.9901322563818632,-0.31940374764357327,-0.0005895716646803028,0.016028021064180782,0.10323399848552102,0.22830395859292768,0.10944239425854332,0.2067373446413467,0.02255006529948878,-0.05696402203606104,0.30398566526521625,0.2034420513236612,0.3018538071087625,0.23559646533957013,0.18628497990722376,0.22035723344242877
