cohort,n,v1_raw_dice_mean,v1_raw_dice_std,v1_lcc_dice_mean,v1_lcc_dice_std,v2_raw_dice_mean,v2_raw_dice_std,v2_lcc_dice_mean,v2_lcc_dice_std,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_recall_mean,v2_raw_recall_std,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_recall_mean,v2_lcc_recall_std,delta_v2raw_minus_v1raw_mean,delta_v2raw_minus_v1raw_std,delta_v2lcc_minus_v1lcc_mean,delta_v2lcc_minus_v1lcc_std,delta_v2lcc_minus_v2raw_mean,delta_v2lcc_minus_v2raw_std
DUKE,291,0.5541633790805967,0.23990493195148135,0.5835172720176839,0.2930300040169809,0.5664864047120075,0.24005278546587053,0.5925374849063633,0.2932588680909898,0.5497620688520444,0.28227594565189795,0.7344603688789174,0.22545179790786643,0.6304534286477069,0.329395836791674,0.6414492749763252,0.3149329950578819,0.012323025631410876,0.03458275046294122,0.009020212888679406,0.05892081806738576,0.026051080194355834,0.13531594762929589
ISPY1,171,0.5303211317258638,0.23205215822835742,0.5281929890449342,0.3073485386870954,0.5356359218566931,0.23021982679205,0.5336710308024728,0.30529550896899893,0.5107312897343939,0.2585590366036891,0.7088383082873176,0.23040812475517422,0.5557182680913907,0.32244816189457914,0.6028532119599553,0.3378683658065059,0.005314790130829342,0.0554710815984344,0.005478041757538514,0.05897334501834117,-0.001964891054220361,0.13432005736553493
NACT,64,0.5616053732299022,0.21222566284722666,0.6101155106637977,0.2780868110421151,0.558029443699041,0.21611066898421097,0.5959355946402533,0.2936547156108685,0.5016443636425028,0.2594453509564477,0.7865535225739317,0.2328265724478439,0.5878920044474971,0.31546882877863747,0.710546335326821,0.3239514296551741,-0.0035759295308612432,0.016254099226683253,-0.014179916023544386,0.09396703056139318,0.03790615094121219,0.15335877857409522
