overall,n,v1_raw_dice_mean,v1_raw_dice_std,v1_lcc_dice_mean,v1_lcc_dice_std,v2_raw_dice_mean,v2_raw_dice_std,v2_lcc_dice_mean,v2_lcc_dice_std,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_recall_mean,v2_raw_recall_std,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_recall_mean,v2_lcc_recall_std,delta_v2raw_minus_v1raw_mean,delta_v2raw_minus_v1raw_std,delta_v2lcc_minus_v1lcc_mean,delta_v2lcc_minus_v1lcc_std,delta_v2lcc_minus_v2raw_mean,delta_v2lcc_minus_v2raw_std
acceptable,213,0.5264729884319111,0.22957747180901703,0.548504699724822,0.2980476251034436,0.54046542229456,0.22991630918994901,0.5576394048182162,0.2998230377054629,0.513105610729672,0.2620737335065717,0.7242706943887385,0.23318522188669805,0.5842656130447038,0.32627772645698694,0.6242496257548686,0.3281980701344372,0.013992433862648772,0.058466280701356656,0.009134705093394264,0.09589568123284958,0.017173982523656275,0.14494126829823836
good,154,0.5710124225669558,0.24408540304254722,0.5947758005427655,0.2917959164606885,0.5737506608160057,0.24451418173227718,0.595972432768518,0.2922654963813832,0.556615823363377,0.2880021480216348,0.7453614819482564,0.2182768313206829,0.6293461831494801,0.3261377304441368,0.6474758841920027,0.3149270249157017,0.0027382382490497466,0.013525976852087661,0.0011966322257525755,0.009677191873523944,0.022221771952512338,0.11913181814177627
no_times,13,0.6242949144732752,0.1489258280957095,0.6333538937644836,0.22658810648200695,0.6242874927066759,0.1489280976569556,0.6333477944658401,0.22658885969148607,0.6118414315461282,0.2070255505760373,0.7045245333257036,0.1718643182551675,0.6659382024008443,0.26016142443264817,0.6518280517923759,0.26261694579898115,-7.421766599317122e-06,1.6421438677548887e-05,-6.099298643497547e-06,1.4131153050540297e-05,0.00906030175916414,0.12804562709298925
poor,146,0.5458815563344465,0.23410960432005615,0.5651461987835724,0.30583648889960047,0.5517992923687287,0.23464878069087391,0.5687367344607056,0.30741188659544716,0.5236765846586754,0.2743377582247601,0.7333191674490479,0.23841918384654542,0.5896559962328599,0.33334891402575023,0.6443450862981043,0.3366423262516619,0.00591773603428222,0.03059948553291842,0.0035905356771331717,0.03825683460295087,0.016937442091976892,0.14727978998327487
