cohort,strict_phase_group,n,v1_raw_dice_mean,v1_raw_dice_std,v1_lcc_dice_mean,v1_lcc_dice_std,v2_raw_dice_mean,v2_raw_dice_std,v2_lcc_dice_mean,v2_lcc_dice_std,v2_raw_precision_mean,v2_raw_precision_std,v2_raw_recall_mean,v2_raw_recall_std,v2_lcc_precision_mean,v2_lcc_precision_std,v2_lcc_recall_mean,v2_lcc_recall_std,delta_v2raw_minus_v1raw_mean,delta_v2raw_minus_v1raw_std,delta_v2lcc_minus_v1lcc_mean,delta_v2lcc_minus_v1lcc_std,delta_v2lcc_minus_v2raw_mean,delta_v2lcc_minus_v2raw_std
DUKE,both_good,147,0.5758369705523771,0.2447211405867732,0.6035945314064782,0.2850510627504421,0.5791325210412699,0.24418615695331305,0.6046782549681975,0.28536237720534285,0.56592371281057,0.287416809232076,0.744232570826509,0.219139426330026,0.6418111470916144,0.32038328030749386,0.6550859637864895,0.30636439006803773,0.003295550488892854,0.012033487781169928,0.001083723561719249,0.009704138478291139,0.02554573392692744,0.11521226695835261
DUKE,compatible_not_both_good,123,0.5287299935482832,0.23846849789558994,0.5589195722750907,0.3068771606975519,0.5474639405900856,0.24195464701428826,0.5734068289680742,0.3091780211698074,0.5206460108565009,0.2800184130506068,0.7298696055541136,0.23151308613270835,0.6076352616701715,0.34454473760515625,0.624883810394173,0.3295010984115382,0.018733947041802392,0.04430689188784476,0.01448725669298336,0.08403083259288328,0.025942888377988485,0.15234356500289478
DUKE,poor_or_missing,21,0.551415211181682,0.20742245955032507,0.5870486976455976,0.2659974918229372,0.58938088026414,0.19807444362194962,0.6196030792549321,0.2556384667394488,0.6071674722591207,0.25182893707721693,0.6929437118624845,0.2384558466166551,0.6845986632659207,0.30429523456104035,0.6430187458577818,0.29603847564854796,0.03796566908245812,0.052605602417814555,0.0325543816093345,0.07314464390221782,0.030222198990791954,0.16434479960071888
ISPY1,both_good,5,0.4103016613154148,0.22503424346553988,0.2972449127212043,0.4136471115453045,0.39774322116632466,0.24835553840662625,0.30224023156222984,0.42202737557981107,0.30470357902116707,0.24201232624440105,0.7173668955742862,0.23371445077885492,0.2826661747176023,0.39807020093213435,0.3255606893653698,0.4509054006584133,-0.012558440149090161,0.03748250693785139,0.00499531884102562,0.011207051354470894,-0.09550298960409473,0.19283757777289603
ISPY1,compatible_not_both_good,80,0.5218238246169805,0.21977698009893473,0.528839684998018,0.2837635668016388,0.5307752849096276,0.21416507215096467,0.5395988783884192,0.278193934488012,0.5039584426132983,0.23207715123762868,0.7020228657637442,0.23362313926625036,0.5558030317817538,0.2905056428456543,0.621878980089744,0.31942575842537035,0.008951460292647033,0.07759695594126444,0.010759193390401307,0.08604536641911861,0.008823593478791728,0.11835321544973197
ISPY1,poor_or_missing,86,0.5452034796417115,0.24347808091713447,0.5410186251539103,0.3205185309568643,0.5481744620801476,0.24325069776992803,0.5416120330039319,0.32070671978997833,0.5290099679117635,0.2793085403024321,0.7146824067227948,0.22977316345610227,0.5715145398546453,0.34265750183606136,0.6012764812923952,0.3450297944471231,0.0029709824384361117,0.021328730617086577,0.0005934078500215474,0.004267646383857884,-0.006562429076215657,0.14376887879497818
NACT,compatible_not_both_good,12,0.5496184548112072,0.20452118023913524,0.5965059545780854,0.2950682592500433,0.5462877108464234,0.2069860261801586,0.5384244166957487,0.3388406640401099,0.49499112172559195,0.2666146905496553,0.8442094159340859,0.2195709727756752,0.5337448799595946,0.3413512315773604,0.6783324368543208,0.3871139459672697,-0.0033307439647838736,0.011646944562754443,-0.05808153788233672,0.20122331861278783,-0.007863294150674568,0.21488731967218166
NACT,poor_or_missing,52,0.564371585172678,0.2158095990204737,0.613256177452808,0.27693984910027375,0.5607390743573374,0.22002803585647634,0.6092074049351388,0.2842565841742827,0.5031797271617899,0.260394797684272,0.7732483164138966,0.23580051259735804,0.6003874947139363,0.3113779398872554,0.7179803118973981,0.3114718217394872,-0.003632510815340636,0.017236122217897304,-0.004048772517669232,0.04019877145812058,0.04846833057780145,0.13596498068940022
